,initial,30cyc,60cyc,90cyc,120cyc,150cyc,180cyc,210cyc,225cyc,240cyc,255cyc,270cyc,300cyc,330cyc,360cyc,390cyc,405cyc,420cyc,435cyc,450cyc,465cyc,480cyc,485cyc,510cyc,540cyc,570cyc,575cyc,600cyc,630cyc,645cyc,660cyc,675cyc,690cyc,705cyc,720cyc,735cyc,750cyc,765cyc,780cyc,795cyc,800cyc,810cyc,820cyc,825cyc,840cyc,850cyc,855cyc,870cyc,880cyc,885cyc,900cyc,910cyc,915cyc,930cyc,940cyc,945cyc,960cyc,970cyc,975cyc,990cyc,1000cyc,1005cyc,1020cyc,1030cyc,1035cyc,1050cyc,1060cyc,1065cyc,1080cyc,1090cyc,1095cyc,1110cyc,1120cyc,1125cyc,1130cyc,1140cyc,1145cyc,1150cyc,1155cyc,1160cyc,1170cyc,1175cyc,1185cyc,1190cyc,1200cyc,1205cyc,1215cyc,1230cyc,1235cyc,1245cyc,1260cyc,1265cyc,1275cyc,1290cyc,1295cyc,1305cyc,1320cyc,1325cyc,1350cyc,1355cyc,1380cyc,1410cyc,1415cyc,1440cyc,1445cyc,1470cyc,1475cyc,1500cyc,1505cyc,1530cyc,1535cyc,1560cyc,1565cyc,1590cyc,1595cyc,1620cyc,1625cyc,1650cyc,1665cyc
0.5C0.5C_3-5,100,98.82002,97.81539,96.88205,95.9466,95.05273,94.21955,93.57511,,92.69385,,91.99175,91.62011,,,89.80032,,,,,,,87.88459,,,,86.15182,,,,84.31971,,,,,,82.07154,,,,,80.75202,,,,,,79.34121,,,,,,77.75317,,,,,,76.46391,,,,,,74.82343,,,,,,74.29539,,,,73.40555,,,,,72.64162,,,,71.79876,,,70.96193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5C0.5C_3-6,100,98.88916,97.88302,96.94784,96.01975,95.12123,94.30897,93.57252,,92.73751,,91.99358,91.62621,,,89.74711,,,,,,,87.72362,,,,86.15725,,,,84.37297,,,,,,82.29617,,,,,80.96641,,,,,,79.49319,,,,,,77.84838,,,,,,76.62179,,,,,,74.85349,,,,,,74.59579,,,,73.74627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5C0.5C_3-7,100,98.67102,97.61357,96.66956,95.72062,94.82321,93.98046,93.23944,,92.36556,,91.69982,91.46743,,,89.63662,,,,,,,87.74425,,,,85.91354,,,,84.23778,,,,,,82.2749,,,,,80.82598,,,,,,79.38991,,,,,,77.86569,,,,,,76.60247,,,,,,74.9752,,,,,,74.75065,,,,73.61796,,,,,72.767,,,,72.17637,,,71.3162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5C1C_3-8,100,98.32652,97.38528,96.5046,95.61396,94.82865,94.03574,93.35076,,92.66376,,92.00954,91.35447,90.75066,,,,89.48361,,,,,,87.83949,,,,86.60969,,,,,84.70375,,,,,,83.13563,,,,,,,,,81.58909,,,,,,80.11439,,,,,,79.03231,,,,,,77.71931,,,,,,76.62557,,,,,,,,,75.5337,,,,74.92549,,,74.90447,,,74.23302,,,73.76768,,,73.18579,,,,,,,,,,,,,,,,,,,,,,
0.5C1C_4-4,100,98.75284,97.72574,96.78883,95.87585,95.06994,94.25204,93.49845,,92.7801,,92.14918,91.52772,90.93679,90.75832,,,,,89.21845,,,,,87.56783,,,,86.19169,,,,,,84.40979,,,,,,,82.53352,,,,,,,,,81.19708,,,,,,79.8291,,79.12774,79.00944,,78.43784,78.11234,,77.87608,77.3707,,,,,76.58464,,,75.89535,,,,,75.21096,,,,74.33654,,,,74.73786,,,73.39368,,,72.74566,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5C1C_4-5,100,98.82131,97.86689,96.97765,96.10513,95.32654,94.53408,93.74222,,93.00804,,92.30302,91.61236,90.96137,90.63227,,,,,88.85859,,,,,,,,,85.18812,,,,,,83.4444,,,,,,,,,,,,,80.16185,,,,,,78.75869,,78.42494,77.8937,,77.58311,77.3668,,,76.6523,,,75.89997,,,75.26296,,,74.60471,,,,75.17389,,,,,74.72515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5C2C_2-1,100,,,97.56682,,,95.3287,,,,,93.55693,,,92.27788,,,,,90.94569,,,,,89.79789,,,88.81863,,,88.06518,,,,87.42202,,,,,,,,85.88534,,,85.27992,,,84.78241,,,84.76679,,,84.24605,,,83.77435,,,83.63841,,,82.9915,,,82.25084,,,81.74519,,,81.367,,,,,80.7579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5C2C_3-2,100,,,97.36033,,,95.3556,,,,,93.78563,,,92.31902,,,,,91.02783,,,,,89.58934,,,88.75215,,,87.89665,,,,87.08274,,,,86.14286,,,85.4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5C2C_4-1,100,,,97.23085,,,95.04559,,,,,93.25103,,,91.891,,,,,90.51718,,,,,89.01012,,,88.18591,,,87.32755,,,,86.28894,,,,85.47441,,,84.77883,,,84.34465,,,84.57651,,,84.04487,,,83.61588,,,83.02538,,,82.58584,,,82.07833,,,81.34401,,,80.77023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5C3C_1-7,100,,,97.5362,,,95.68372,,,,,93.82584,,,92.61621,,,,,90.94164,,,,,89.93519,,,,88.62042,,,,87.79209,,,,86.82397,,,,,85.93061,,,,,,85.13615,,,,,,84.29951,,,84.12734,,,83.61687,,,83.1453,,,83.00772,,,82.32328,,,81.54433,,,,80.97523,,,,,80.37186,,,,79.91844,,,79.48072,,,79.01369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
